id,year,month,day,hour,locationName,latitude,longitude,eqMagnitude,eqDepth,damageAmountOrder,damageMillionsDollars,publish,housesDestroyedAmountOrderTotal,country,deathsAmountOrder,injuriesAmountOrderTotal,intensity
5565,2000,6.0,18.0,14.0,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,7.9,10.0,,,True,,AUSTRALIA,,,
9906,2012,5.0,22.0,0.0,BULGARIA: PERNIK,42.645,22.968,5.6,10.0,2.0,,True,,BULGARIA,,,7.0
7414,2006,11.0,29.0,1.0,INDONESIA:  HALMAHERA:  MOROTAI,2.52,128.283,6.2,39.0,2.0,,True,1.0,INDONESIA,,,
10354,2018,8.0,19.0,4.0,INDONESIA:  LOMBOK ISLAND,-8.337,116.599,6.3,16.0,2.0,,True,,INDONESIA,1.0,1.0,
5914,1768,6.0,22.0,,PAPUA NEW GUINEA:  NEW IRELAND,-4.85,152.8,7.5,,,,True,,PAPUA NEW GUINEA,,,
6529,1863,9.0,20.0,,"NW. HOKKAIDO ISLAND, JAPAN",44.6,141.5,6.4,,,,True,,JAPAN,,,
1180,1709,10.0,14.0,,CHINA:  NINGXIA,37.4,105.3,7.5,,4.0,,True,4.0,CHINA,4.0,,10.0
2577,1900,9.0,18.0,,COLOMBIA,4.6,-74.0,7.9,,,,True,,COLOMBIA,,,
6390,1960,11.0,1.0,8.0,CHILE:  CONCEPCION,-38.5,-75.1,7.4,55.0,1.0,,True,,CHILE,1.0,,
6267,1917,1.0,25.0,,CHINA:  FUJIAN PROVINCE: OFF COAST,24.47,118.08,6.5,,,,True,,CHINA,,,
4893,1980,8.0,23.0,21.0,INDIA:  KASHMIR,32.834,75.629,4.8,33.0,1.0,,True,,INDIA,1.0,,
6071,1823,9.0,9.0,,INDONESIA:  JAVA,-6.5,108.5,6.8,150.0,,,True,,INDONESIA,,,
647,1493,1.0,10.0,,IRAN:  NOWZAD-MASK,33.0,59.8,6.5,,3.0,,True,,IRAN,,,
43,27,,,,SOUTH KOREA:  KWANGJU,35.9,126.5,6.3,,3.0,,True,,SOUTH KOREA,,,8.0
2787,1906,10.0,2.0,1.0,PAPUA NEW GUINEA:  BISMARCK SEA,-4.0,149.0,7.2,,1.0,,True,,PAPUA NEW GUINEA,,,
8056,1960,4.0,13.0,7.0,CHINA:  JILIN PROVINCE,44.7,127.0,5.8,,1.0,,True,1.0,CHINA,,,8.0
4661,1974,7.0,1.0,16.0,ARGENTINA:  LOS TOLDOS,-22.124,-64.638,5.9,18.0,1.0,,True,,ARGENTINA,,,
4632,1973,3.0,17.0,8.0,"PHILIPPINES:  QUEZON CITY:  CALAUG,LOPEZ,GUIAYANGAN",13.4,122.8,7.5,33.0,1.0,0.45,True,,PHILIPPINES,1.0,2.0,9.0
7961,1679,12.0,16.0,,CHINA:  JIANGSU PROVINCE,31.4,119.5,5.0,,1.0,,True,1.0,CHINA,1.0,,7.0
7368,2006,10.0,15.0,17.0,HAWAIIAN ISLANDS,19.878,-155.935,6.7,39.0,4.0,73.0,True,,USA,,3.0,8.0
9865,1985,12.0,25.0,2.0,ITALY:  SICILY,37.688,15.068,4.3,10.0,1.0,,True,,ITALY,1.0,1.0,
4706,1975,12.0,31.0,9.0,GREECE:  KATO-MAKRINOU,38.628,21.798,5.5,19.0,3.0,,True,,GREECE,1.0,1.0,9.0
8006,1934,1.0,20.0,17.0,CHINA:  NEI MONGOL:  WU-YUAN,41.0,108.8,6.3,,2.0,,True,3.0,CHINA,1.0,,8.0
4614,1972,9.0,17.0,14.0,"GREECE: LIXOURI, CHAVRIATA, DAMOULIANATA,KOUVALATA",38.3,20.3,6.3,33.0,2.0,,True,,GREECE,,,7.0
7410,2006,10.0,20.0,10.0,PERU:  CENTRAL,-13.457,-76.677,6.7,23.0,1.0,,True,,PERU,,,4.0
4789,1978,2.0,9.0,21.0,KERMADEC ISLANDS:  S OF,-30.68,-177.36,7.7,33.0,,,True,,KERMADEC ISLANDS (NEW ZEALAND),,,
7236,2006,4.0,1.0,10.0,TAIWAN:  T'AIT-TUNG,22.868,121.278,6.2,9.0,1.0,,True,2.0,TAIWAN,,1.0,
8384,2009,5.0,29.0,6.0,VANUATU ISLANDS:  TONGOA,-17.026,168.329,5.7,13.0,1.0,,True,2.0,VANUATU,,1.0,
4399,1967,7.0,13.0,2.0,ALGERIA:  NEAR SIG,35.5,-0.1,5.0,13.0,1.0,,True,1.0,ALGERIA,1.0,1.0,
3090,1917,7.0,30.0,23.0,CHINA:  YUNNAN PROVINCE,28.0,104.0,6.8,33.0,4.0,,True,4.0,CHINA,4.0,,9.0
10564,2021,8.0,12.0,18.0,SOUTH SANDWICH ISLANDS,-58.416,-25.321,8.1,48.0,,,True,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,,
8020,1947,3.0,26.0,20.0,CHINA:  YUNNAN PROVINCE,25.0,102.0,5.5,,2.0,,True,3.0,CHINA,1.0,1.0,7.0
10379,2016,12.0,1.0,0.0,"COSTA RICA:  PARAISO, TURRIALBA",9.949,-83.807,5.3,1.0,2.0,,True,,COSTA RICA,,,6.0
1794,1837,1.0,1.0,1.0,ISRAEL: ZEFAT (SAFED); LEBANON:  BEIRUT (BEYROUT),33.0,35.5,6.4,,4.0,,True,4.0,ISRAEL,4.0,,10.0
9975,2013,3.0,27.0,2.0,"TAIWAN:  NANTOU COUNTY, TAIPEI",23.828,121.215,6.0,19.0,2.0,1.128,True,,TAIWAN,1.0,2.0,
4258,1962,2.0,18.0,,"TUNISIA:  GAFOUR,OUM-ZID,EL AKHOUAT",36.0,9.0,5.3,,2.0,,True,,TUNISIA,,,8.0
